Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Books,books,6361e12644c7fb756c685d1f,653ad7e5e882f528b34b59f5,65052aab4f484347914a704d,false,false,Sat Sep 16 2023 04:10:19 GMT+0000 (Coordinated Universal Time),Sat Sep 16 2023 04:10:19 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 14:40:51 GMT+0000 (Coordinated Universal Time)
Food,food,6361e12644c7fb756c685d1f,653ad7e5e882f528b34b59f5,64124803e85ed9ad1c740c3c,false,false,Wed Mar 15 2023 22:34:43 GMT+0000 (Coordinated Universal Time),Wed Mar 15 2023 22:34:43 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 14:40:51 GMT+0000 (Coordinated Universal Time)
Kitchen Essentials,kitchen-essentials,6361e12644c7fb756c685d1f,653ad7e5e882f528b34b59f5,638eb89632346203bdb43c71,false,false,Tue Dec 06 2022 03:35:50 GMT+0000 (Coordinated Universal Time),Tue Dec 06 2022 03:35:50 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 14:40:51 GMT+0000 (Coordinated Universal Time)
Pantry Items,pantry-items,6361e12644c7fb756c685d1f,653ad7e5e882f528b34b59f5,638eb919ca262f84d819985f,false,false,Tue Dec 06 2022 03:38:01 GMT+0000 (Coordinated Universal Time),Tue Dec 06 2022 03:38:01 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 14:40:51 GMT+0000 (Coordinated Universal Time)
