Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Ignore
Legumes,legumes,698eaffccaa60cc2aa17bc87,653ad7e5e882f528b34b59f5,6990e6c9418e6db3dc0f9126,false,false,Sat Feb 14 2026 21:19:05 GMT+0000 (Coordinated Universal Time),Sat Feb 14 2026 21:21:48 GMT+0000 (Coordinated Universal Time),Sat Feb 14 2026 21:22:13 GMT+0000 (Coordinated Universal Time),
Whole Grains,whole-grains,698eaffccaa60cc2aa17bc87,653ad7e5e882f528b34b59f5,69b4971fbdc4df399bc161f0,false,false,Fri Mar 13 2026 23:00:47 GMT+0000 (Coordinated Universal Time),Fri Mar 13 2026 23:00:47 GMT+0000 (Coordinated Universal Time),Fri Mar 13 2026 23:00:47 GMT+0000 (Coordinated Universal Time),
Fruits,fruits,698eaffccaa60cc2aa17bc87,653ad7e5e882f528b34b59f5,69d5be520af877079212a0f7,false,false,Wed Apr 08 2026 02:32:50 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 02:32:50 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 02:32:50 GMT+0000 (Coordinated Universal Time),
Vegetables,vegetables,698eaffccaa60cc2aa17bc87,653ad7e5e882f528b34b59f5,69d5bf3bd579efbb4d519bd5,false,false,Wed Apr 08 2026 02:36:43 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 02:36:43 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 02:36:43 GMT+0000 (Coordinated Universal Time),
Nuts & Seeds,nuts-and-seeds,698eaffccaa60cc2aa17bc87,653ad7e5e882f528b34b59f5,69daef34ab938357fc415f88,false,false,Sun Apr 12 2026 01:02:44 GMT+0000 (Coordinated Universal Time),Sun Apr 12 2026 07:13:10 GMT+0000 (Coordinated Universal Time),Sun Apr 12 2026 07:13:29 GMT+0000 (Coordinated Universal Time),
